username,repo_name,stars,repo_url
sindresorhus,awesome,253000,https://github.com/sindresorhus/awesome
vinta,awesome-python,168000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,131000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,101000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,97400,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,72100,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,68700,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,64800,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,60500,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,55400,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,55200,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,51200,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,51100,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,47100,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,46700,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,46300,https://github.com/wasabeef/awesome-android-ui
fffaraz,awesome-cpp,46300,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,45100,https://github.com/binhnguyennus/awesome-scalability
vsouza,awesome-ios,42800,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,40900,https://github.com/tiimgreen/github-cheat-sheet
